"county_fips","pop_hs_less","pop_hs","pop_college","pop_bs_more","pct_pop_hs_less","pct_pop_hs","pct_pop_college","pct_pop_bs_more","pop_poverty","pct_pop_poverty","med_house_inc","unemploy_rate","pop_labor_force","pop_employed","pop_unemployed"
48003,2695,3898,2914,1103,25.4,36.7,27.5,10.4,1922,10.7,84946,2.4,9382,9157,225
48005,10826,18265,18808,9344,18.9,31.9,32.9,16.3,15052,17.9,46653,4.4,36211,34622,1589
48007,2742,5392,6066,3936,15.1,29.7,33.4,21.7,4642,19.9,46912,5.7,10314,9725,589
48009,558,2057,2117,1449,9,33.3,34.3,23.4,922,10.6,61190,3.1,4184,4055,129
48011,164,345,576,328,11.6,24.4,40.8,23.2,197,10.7,57210,2.8,926,900,26
48013,7032,12335,7439,4110,22.7,39.9,24.1,13.3,7803,15.7,50594,3.8,21247,20447,800
48015,3402,5906,6086,4740,16.9,29.3,30.2,23.5,3031,10.2,59942,3.6,14015,13506,509
48017,1142,1553,932,780,25.9,35.2,21.1,17.7,1087,15.8,45051,4.4,2655,2539,116
48019,1781,5301,5626,3970,10.7,31.8,33.7,23.8,3016,13.4,53008,3.4,9920,9582,338
48021,10334,15984,17027,11083,19,29.4,31.3,20.4,10673,12.6,61883,3.4,41491,40096,1395
48023,290,822,919,498,11.5,32.5,36.3,19.7,563,16.1,41180,3.3,1566,1515,51
48025,5851,7751,6380,2259,26.3,34.9,28.7,10.2,6607,26.7,41806,5.1,9977,9470,507
48027,19504,53563,83008,50770,9.4,25.9,40.1,24.5,44865,13,54292,4.1,142270,136410,5860
48029,197870,308714,379838,337748,16.2,25.2,31,27.6,334215,17.2,54210,3.3,940900,909581,31319
48031,791,2433,2942,2297,9.3,28.7,34.8,27.1,1176,10.1,64832,2.6,6250,6086,164
48033,32,121,148,162,6.9,26.1,32,35,65,10,66101,3.2,349,338,11
48035,1941,4638,4007,2403,14.9,35.7,30.8,18.5,2721,14.9,48460,3.7,8220,7916,304
48037,7515,22063,21285,12626,11.8,34.8,33.5,19.9,16794,19.1,47339,4.9,39495,37542,1953
48039,28305,58155,75317,68439,12.3,25.3,32.7,29.7,36342,10.1,74225,4.5,175989,168025,7964
48041,15388,22639,30181,47079,13.3,19.6,26.2,40.8,49310,23.2,50113,2.8,116882,113563,3319
48043,992,1370,1718,2652,14.7,20.4,25.5,39.4,1475,16,45670,3.4,4062,3925,137
48045,148,366,333,249,13.5,33.4,30.4,22.7,245,16.2,44409,3.9,559,537,22
48047,1240,1139,1033,731,29.9,27.5,24.9,17.6,2183,31,30116,6.5,2444,2286,158
48049,3564,9180,8006,4972,13.9,35.7,31.1,19.3,4778,13.2,47097,3.7,16152,15549,603
48051,2168,4864,3244,2120,17.5,39.2,26.2,17.1,2686,14.8,53626,3.6,8223,7928,295
48053,3813,9992,10238,8072,11.9,31.1,31.9,25.1,5099,11,56696,2.9,23033,22373,660
48055,5627,9883,7071,3914,21.2,37.3,26.7,14.8,5850,14.1,52588,3.6,19092,18401,691
48057,2788,4819,4699,2169,19.3,33.3,32.5,15,3036,14.2,52085,4.1,11213,10749,464
48059,1139,3659,3000,1839,11.8,38,31.1,19.1,1661,12,50330,3.4,6023,5821,202
48061,80565,63733,58823,42411,32.8,26,24,17.3,117193,27.9,38106,6.2,166001,155766,10235
48063,1290,2981,2524,1550,15.5,35.7,30.2,18.6,2431,18.8,43714,4.9,4990,4745,245
48065,258,1160,1389,1225,6.4,28.8,34.4,30.4,536,8.9,64799,2.8,3040,2954,86
48067,3067,9155,5458,3459,14.5,43.3,25.8,16.4,6059,20.4,44154,5.1,12335,11711,624
48069,1234,1518,1265,700,26.2,32.2,26.8,14.8,1328,17.5,45689,2.9,3525,3424,101
48071,3250,7445,9378,5489,12.7,29.1,36.7,21.5,3593,8.5,89513,5.4,19157,18121,1036
48073,6989,10640,10483,5708,20.7,31.5,31,16.9,8623,17.4,43483,4.1,20979,20116,863
48075,797,1929,1374,858,16.1,38.9,27.7,17.3,1180,21.2,42291,2.5,2950,2875,75
48077,703,2958,2440,1393,9.4,39.5,32.6,18.6,1125,10.9,58356,3.2,4945,4788,157
48079,603,577,534,154,32.3,30.9,28.6,8.2,609,21.9,42873,4.2,1115,1068,47
48081,396,867,782,422,16.1,35.1,31.7,17.1,469,14.1,44804,3.4,1454,1405,49
48083,1115,2094,1975,957,18.2,34.1,32.2,15.6,1604,19.3,39484,4,2960,2842,118
48085,39131,91405,167196,318998,6.3,14.8,27.1,51.7,64180,6.4,96936,3.3,545243,527191,18052
48087,479,613,542,369,23.9,30.6,27.1,18.4,502,17.3,39536,3.2,1185,1147,38
48089,2651,5218,3794,2673,18.5,36.4,26.5,18.6,2845,13.7,48258,3.3,9680,9358,322
48091,7102,24400,29250,33117,7.6,26,31.2,35.3,10498,7.1,76523,3.2,70132,67878,2254
48093,1530,3419,2625,1866,16.2,36.2,27.8,19.8,2180,16.4,52251,3.6,5385,5189,196
48095,1133,841,659,357,37.9,28.1,22,11.9,702,26.6,40987,3.6,1120,1080,40
48097,3683,8382,9098,5471,13.8,31.5,34.2,20.5,5914,14.8,52047,3.1,19182,18591,591
48099,5609,13217,21029,7402,11.9,28,44.5,15.7,9407,15,48099,4.1,24402,23392,1010
48101,222,340,313,158,21.5,32.9,30.3,15.3,293,21.2,38304,4.3,529,506,23
48103,668,885,974,359,23.1,30.7,33.7,12.4,475,10.1,61987,3.8,1796,1727,69
48105,508,822,731,338,21.2,34.3,30.5,14.1,529,15.3,49117,3,1645,1596,49
48107,895,1348,1030,480,23.8,35.9,27.4,12.8,1349,23.7,37911,4.5,2566,2450,116
48109,517,598,324,142,32.7,37.8,20.5,9,444,20.3,42164,3.2,979,948,31
48111,1348,1161,1273,597,30.8,26.5,29.1,13.6,867,12.1,50587,2,4075,3992,83
48113,351441,372587,418128,506554,21.3,22.6,25.4,30.7,368310,14.2,59838,3.7,1359225,1308543,50682
48115,2256,3029,1955,1037,27.3,36.6,23.6,12.5,2575,22.9,43726,4.3,4590,4392,198
48117,2994,3797,2959,1350,27,34.2,26.7,12.2,3232,17.5,44230,2.8,8474,8236,238
